t,r
1.667778519013e+01,4.321069534903e+01
1.674449633089e+01,4.320834795008e+01
1.681120747165e+01,4.320599082763e+01
1.687791861241e+01,4.320362397861e+01
1.694462975317e+01,4.320124739994e+01
1.701134089393e+01,4.319886108851e+01
1.707805203469e+01,4.319646504125e+01
1.714476317545e+01,4.319405925506e+01
1.721147431621e+01,4.319164372683e+01
1.727818545697e+01,4.318921845347e+01
1.734489659773e+01,4.318678343187e+01
1.741160773849e+01,4.318433865892e+01
1.747831887925e+01,4.318188413149e+01
1.754503002001e+01,4.317941984648e+01
1.761174116077e+01,4.317694580076e+01
1.767845230153e+01,4.317446199121e+01
1.774516344229e+01,4.317196841468e+01
1.781187458306e+01,4.316946506806e+01
1.787858572382e+01,4.316695194820e+01
1.794529686458e+01,4.316442905195e+01
1.801200800534e+01,4.316189637618e+01
1.807871914610e+01,4.315935391773e+01
1.814543028686e+01,4.315680167345e+01
1.821214142762e+01,4.315423964018e+01
1.827885256838e+01,4.315166781476e+01
1.834556370914e+01,4.314908619401e+01
1.841227484990e+01,4.314649477478e+01
1.847898599066e+01,4.314389355389e+01
1.854569713142e+01,4.314128252816e+01
1.861240827218e+01,4.313866169440e+01
1.867911941294e+01,4.313603104944e+01
1.874583055370e+01,4.313339059008e+01
1.881254169446e+01,4.313074031312e+01
1.887925283522e+01,4.312808021538e+01
1.894596397598e+01,4.312541029364e+01
1.901267511674e+01,4.312273054470e+01
1.907938625751e+01,4.312004096536e+01
1.914609739827e+01,4.311734155239e+01
1.921280853903e+01,4.311463230257e+01
1.927951967979e+01,4.311191321270e+01
1.934623082055e+01,4.310918427953e+01
1.941294196131e+01,4.310644549985e+01
1.947965310207e+01,4.310369687040e+01
1.954636424283e+01,4.310093838796e+01
1.961307538359e+01,4.309817004929e+01
1.967978652435e+01,4.309539185112e+01
1.974649766511e+01,4.309260379023e+01
1.981320880587e+01,4.308980586334e+01
1.987991994663e+01,4.308699806720e+01
1.994663108739e+01,4.308418039854e+01
2.001334222815e+01,4.308135285411e+01
2.008005336891e+01,4.307851543062e+01
2.014676450967e+01,4.307566812480e+01
2.021347565043e+01,4.307281093336e+01
2.028018679119e+01,4.306994385304e+01
2.034689793195e+01,4.306706688053e+01
2.041360907272e+01,4.306418001254e+01
2.048032021348e+01,4.306128324579e+01
2.054703135424e+01,4.305837657695e+01
2.061374249500e+01,4.305546000274e+01
2.068045363576e+01,4.305253351984e+01
2.074716477652e+01,4.304959712493e+01
2.081387591728e+01,4.304665081470e+01
2.088058705804e+01,4.304369458583e+01
2.094729819880e+01,4.304072843499e+01
2.101400933956e+01,4.303775235885e+01
2.108072048032e+01,4.303476635407e+01
2.114743162108e+01,4.303177041731e+01
2.121414276184e+01,4.302876454524e+01
2.128085390260e+01,4.302574873449e+01
2.134756504336e+01,4.302272298173e+01
2.141427618412e+01,4.301968728359e+01
2.148098732488e+01,4.301664163671e+01
2.154769846564e+01,4.301358603773e+01
2.161440960640e+01,4.301052048328e+01
2.168112074716e+01,4.300744496998e+01
2.174783188793e+01,4.300435949446e+01
2.181454302869e+01,4.300126405333e+01
2.188125416945e+01,4.299815864320e+01
2.194796531021e+01,4.299504326069e+01
2.201467645097e+01,4.299191790240e+01
2.208138759173e+01,4.298878256493e+01
2.214809873249e+01,4.298563724487e+01
2.221480987325e+01,4.298248193882e+01
2.228152101401e+01,4.297931664336e+01
2.234823215477e+01,4.297614135507e+01
2.241494329553e+01,4.297295607054e+01
2.248165443629e+01,4.296976078633e+01
2.254836557705e+01,4.296655549902e+01
2.261507671781e+01,4.296334020516e+01
2.268178785857e+01,4.296011490133e+01
2.274849899933e+01,4.295687958407e+01
2.281521014009e+01,4.295363424994e+01
2.288192128085e+01,4.295037889548e+01
2.294863242161e+01,4.294711351724e+01
2.301534356237e+01,4.294383811175e+01
2.308205470314e+01,4.294055267554e+01
2.314876584390e+01,4.293725720516e+01
2.321547698466e+01,4.293395169711e+01
2.328218812542e+01,4.293063614792e+01
2.334889926618e+01,4.292731055410e+01
2.341561040694e+01,4.292397491217e+01
2.348232154770e+01,4.292062921864e+01
2.354903268846e+01,4.291727346999e+01
2.361574382922e+01,4.291390766274e+01
2.368245496998e+01,4.291053179336e+01
2.374916611074e+01,4.290714585836e+01
2.381587725150e+01,4.290374985421e+01
2.388258839226e+01,4.290034377740e+01
2.394929953302e+01,4.289692762439e+01
2.401601067378e+01,4.289350139165e+01
2.408272181454e+01,4.289006507566e+01
2.414943295530e+01,4.288661867287e+01
2.421614409606e+01,4.288316217973e+01
2.428285523682e+01,4.287969559270e+01
2.434956637759e+01,4.287621890823e+01
2.441627751835e+01,4.287273212275e+01
2.448298865911e+01,4.286923523271e+01
2.454969979987e+01,4.286572823453e+01
2.461641094063e+01,4.286221112464e+01
2.468312208139e+01,4.285868389947e+01
2.474983322215e+01,4.285514655543e+01
2.481654436291e+01,4.285159908894e+01
2.488325550367e+01,4.284804149640e+01
2.494996664443e+01,4.284447377423e+01
2.501667778519e+01,4.284089591881e+01
2.508338892595e+01,4.283730792655e+01
2.515010006671e+01,4.283370979384e+01
2.521681120747e+01,4.283010151705e+01
2.528352234823e+01,4.282648309258e+01
2.535023348899e+01,4.282285451679e+01
2.541694462975e+01,4.281921578605e+01
2.548365577051e+01,4.281556689674e+01
2.555036691127e+01,4.281190784521e+01
2.561707805203e+01,4.280823862782e+01
2.568378919280e+01,4.280455924093e+01
2.575050033356e+01,4.280086968087e+01
2.581721147432e+01,4.279716994399e+01
2.588392261508e+01,4.279346002663e+01
2.595063375584e+01,4.278973992512e+01
2.601734489660e+01,4.278600963579e+01
2.608405603736e+01,4.278226915496e+01
2.615076717812e+01,4.277851847894e+01
2.621747831888e+01,4.277475760406e+01
2.628418945964e+01,4.277098652661e+01
2.635090060040e+01,4.276720524291e+01
2.641761174116e+01,4.276341374924e+01
2.648432288192e+01,4.275961204191e+01
2.655103402268e+01,4.275580011720e+01
2.661774516344e+01,4.275197797139e+01
2.668445630420e+01,4.274814560076e+01
2.675116744496e+01,4.274430300159e+01
2.681787858572e+01,4.274045017015e+01
2.688458972648e+01,4.273658710269e+01
2.695130086724e+01,4.273271379548e+01
2.701801200801e+01,4.272883024477e+01
